,utterance,classes,prompt,bigscience/T0pp
1019,will i be charged if i use european bank card for top up?,"['use card', 'bank card', 'european card', 'use top']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card european card use top bank card.
1020,i want to use a european bank card for a top up must i pay?,"['use card', 'top up', 'european card', 'pay top']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pay top up european card. i want to use a european bank card for - must  I pay?
1021,will i be charged for topping up by card?,['topping card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",topping card. charged for topping up by card
1022,is there a fee for topping up,['topping fee'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",is there a fee for topping up?
1023,what do you charge for top ups?,"['top ups', 'charge ups']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",what do you charge for top ups?
1024,will it cost anything to top up a us card?,"['top card', 'us card', 'top card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",will it cost anything to top up a us card
1025,does topping up my card have a fee?,"['have fee', 'have fee']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",have fee. do topping up my card
1026,are there fees for adding money using an international card,"['using card', 'international card', 'using card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card to pay for food and drinks international
1027,when using a us card what is the cost for a top up/off?,"['using card', 'top up/', 'using off']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top up/ using card using off?
1028,i need to use a european card for a top up what will the charge be?,"['use card', 'european card', 'use charge']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card use charge european card.?
1029,is it okay to use a bank card to top up,"['use card', 'bank card', 'top card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",bank card is the most appropriate intent.
1030,any fee for topping up?,['topping fee'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",fee for topping up is zero.. so it's free
1031,are there any fees for top ups?,"['top ups', ' ups']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",are there any fees for top ups?
1032,what are the fees of using an international card to add money?,"['add money', 'international card', 'add money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",international card add money.. add card
1033,is there a charge or discount if i use a european bank in a top up?,"['use bank', 'european bank', 'use top']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use bank european bank?. i will use it in a top up
1034,is their a fee for top ups?,"['top ups', ' ups']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",None of the above choices..........
1035,can i top up using an international card,"['using card', 'international card', 'using card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",can i top up using an international card?
1036,how do i top up with apple pay?,"['apple pay', 'top pay']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","apple pay, top-up, mobile"
1037,why isn't my top up working using my saved american express in applepay?,"['using ', 'american express', 'saved express', 'saved top']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",saved american express top saved express using ios7
1038,how do i use the top up app with my apple watch?,"['use app', 'apple watch', 'top app', 'top watch']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use app? i watch top up
1039,google pay and top up i want it can i get it?,"['get ', 'google pay', 'get pay']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",google pay and top up i want it can u pay it
1040,what can i use to verify my identify?,"['verify identify', 'verify identify']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify identify. comma.
1041,what do you need to verify my identity?,"['verify identity', 'verify identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify identity. fbi - oid service
1042,i need to verify my identity but how do i do that?,"['do identity', 'do identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need to prove that i am the owner
1043,how can i verify my indentity?,"['verify indentity', 'verify indentity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify indentity? : yes
1044,what is needed to prove my identity?,"['prove identity', 'prove identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need to prove my identity. what is needed to ensure the identity of a person
1045,what do you need for my identity check?,"['identity check', 'need check']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",identify check need check.. i think so
1046,how do you verify an identity?,"['verify identity', 'verify identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify identity... see more. by logging into your bank account.
1047,is there a specific type you need for identity verification?,"['identity verification', 'specific type', 'need verification']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need verification specific type identity verification? : yes
1048,i got a message that i need to verify my identity; what do i do?,"['verify identity;', 'do identity;']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify identity; do identity. i got a message that...
1049,are there any documents needed for the identity check?,"['identity check', 'needed check']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",check if there are necessary documents before identity
1050,what are the steps i need to take to verify my identity?,"['verify identity', 'verify identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify identity. coca cola sp
1051,what do i need to verify my identity,"['verify identity', 'verify identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify identity... what do i need to know
